Compound1,Compound2,CAS1,CAS2,MF_mean,MF_std,Temp_mean,Temp_std
Methylparaben,Water,99-76-3,7732-18-5,0.00036550000000000005,7.678053138654355e-05,32.5,5.5901699437494745
Ethylparaben,Water,120-47-8,7732-18-5,32.5,5.5901699437494745,0.00013475,2.8525208149985514e-05
Propylparaben,Water,94-13-3,7732-18-5,5.2249999999999996e-05,1.3589977924926884e-05,32.5,5.5901699437494745
Butylparaben,Water,94-26-8,7732-18-5,3.55e-05,8.958236433584458e-06,32.5,5.5901699437494745
Lithium salicylate,Water,552-38-5,7732-18-5,0.1267925,0.06911410397849342,22.82166666666667,36.07998286985304
Sodium salicylate,Water,54-21-7,7732-18-5,0.08575666666666666,0.05766052192695527,37.346666666666664,45.29918474861207
Potassium salicylate,Water,578-36-9,7732-18-5,0.10527583333333335,0.06773779514401264,37.76583333333333,49.86894966782659
Rubidium salicylate,Water,45749-39-1,7732-18-5,0.1377283333333333,0.0959447666484328,30.57166666666667,44.513486501908105
Cesium salicylate,Water,15092-48-2,7732-18-5,0.20871916666666668,0.16825810790064638,32.887499999999996,36.96766720730428
Silver salicylate,Water,528-93-8,7732-18-5,0.00438,0.0,25.0,0.0
Lithium 3-hydroxybenzoate,Water,4247-02-3,7732-18-5,0.11175714285714286,0.05725439115144313,39.66285714285714,54.49264661120689
Potassium 3-hydroxybenzoate,Water,17361-85-2,7732-18-5,0.10919374999999999,0.07418104726571,29.915,52.801797317894405
Lithium 4-hydroxybenzoate,Water,61937-89-1,7732-18-5,0.29152500000000003,0.2713564498957045,24.0825,44.20151771998333
buckminsterfullerene,carbon disulfide,99685-96-8,75-15-0,0.00066,0.0,22.0,0.0
buckminsterfullerene,benzonitrile,99685-96-8,100-47-0,7.1e-05,0.0,22.0,0.0
buckminsterfullerene,nitrobenzene,99685-96-8,98-95-3,0.00011,0.0,22.0,0.0
buckminsterfullerene,pyridine,99685-96-8,110-86-1,9.9e-05,0.0,22.0,0.0
buckminsterfullerene,2-methylthiophene,99865-96-8,554-14-3,0.00091,0.0,22.0,0.0
buckminsterfullerene,tetrahydrothiophene,99685-96-8,110-01-0,3.6e-06,0.0,22.0,0.0
carbazole,n-hexane,86-74-8,110-54-3,0.000139,0.0,25.0,0.0
carbazole,n-heptane,86-74-8,142-82-5,0.000173,0.0,25.0,0.0
carbazole,n-octane,86-74-8,111-65-9,0.000198,0.0,25.0,0.0
carbazole,n-decane,86-74-8,124-18-5,0.00029,0.0,25.0,0.0
carbazole,n-dodecane,86-74-8,112-40-3,0.00032,0.0,25.0,0.0
carbazole,n-hexadecane,86-74-8,544-76-3,0.000414,0.0,25.0,0.0
carbazole,cyclohexane,86-74-8,110-82-7,0.0011325999999999999,0.000943671044379343,51.28000000000001,18.92468229588016
carbazole,methylcyclohexane,86-74-8,108-87-2,0.000196,0.0,25.0,0.0
carbazole,cyclooctane,86-74-8,292-64-8,0.000309,0.0,25.0,0.0
carbazole,"2,2,4-trimethylpentane",86-74-8,540-84-1,0.000126,0.0,25.0,0.0
carbazole,t-butylcyclohexane,86-74-8,3178-22-1,0.00025,0.0,25.0,0.0
carbazole,"2,6,10,15,19-hexamethyltetracosane",86-74-8,111-01-3,0.000671,0.0,25.0,0.0
carbazole,decahydronaphthalene,86-74-8,91-17-8,0.14306166666666667,0.22182980953249323,134.275,55.03412766941376
carbazole,benzene,86-74-8,71-43-2,0.0038200000000000005,0.00030000000000000014,22.5,2.5
carbazole,methylbenzene,86-74-8,108-88-3,0.007166666666666666,0.0030259911140355688,40.0,16.32993161855452
carbazole,"1,4-dimethylbezene",86-74-8,106-42-3,0.00483,0.0,20.0,0.0
carbazole,"1,2,3,4-tetrahydronaphthalene",86-74-8,119-64-2,0.25085,0.2818477381495193,149.575,64.22014384132132
carbazole,tetrahydropyran,86-74-8,142-68-7,0.04284,0.0,25.0,0.0
carbazole,"1,1-oxybisethane",86-74-8,60-29-7,0.013,0.0,25.0,0.0
carbazole,"1,1-oxybisbutane",86-74-8,142-96-1,0.005011,0.0,25.0,0.0
carbazole,trichloromethane,86-74-8,67-66-3,0.00478,0.0,25.0,0.0
carbazole,tetrachloromethane,86-74-8,56-23-5,0.0017445,0.0012252306925636493,36.25,15.562374497485916
carbazole,1-chlorohexane,86-74-8,544-10-5,0.00255,0.0,25.0,0.0
